Tweet,sentiments,cleaned_tweets,tokens
An inspiration in all aspects: Fashion,1,An inspiration in all aspects Fashion,"['inspiration', 'aspect', 'fashion']"
 fitness,1,fitness,['fitness']
 beauty and personality. :)KISSES TheFashionIcon,1,beauty and personality KISSES TheFashionIcon,"['beauty', 'personality', 'kiss', 'thefashionicon']"
Apka Apna Awam Ka Channel Frankline Tv Aam Admi Production Please Visit Or Likes  Share :)Fb Page :...,1,Apka Apna Awam Ka Channel Frankline Tv Aam Admi Production Please Visit Or Likes Share Fb Page,"['apka', 'apna', 'awam', 'ka', 'channel', 'frankline', 'tv', 'aam', 'admi', 'production', 'please', 'visit', 'like', 'share', 'fb', 'page']"
Beautiful album from  the greatest unsung guitar genius of our time - and I've met the great backstage,1,Beautiful album from the greatest unsung guitar genius of our time and Ive met the great backstage,"['beautiful', 'album', 'greatest', 'unsung', 'guitar', 'genius', 'time', 'ive', 'met', 'great', 'backstage']"
Good luck to Rich riding for great project in this Sunday. Can you donate?,1,Good luck to Rich riding for great project in this Sunday Can you donate,"['good', 'luck', 'rich', 'riding', 'great', 'project', 'sunday', 'can', 'donate']"
Omg he... kissed... him crying with joy,1,Omg he kissed him crying with joy,"['omg', 'kissed', 'cry', 'joy']"
happy anniv ming and papi!!!!! love love happy,1,happy anniv ming and papi love love happy,"['happy', 'anniv', 'ming', 'papi', 'love', 'love', 'happy']"
thanks happy,1,thanks happy,"['thanks', 'happy']"
C'mon Tweeps,1,Cmon Tweeps,"['cmon', 'tweeps']"
 Join  vote for the singer! Do spread the word. :D,1,Join vote for the singer Do spread the word D,"['join', 'vote', 'singer', 'do', 'spread', 'word']"
Thanks for the great review! smile,1,Thanks for the great review smile,"['thanks', 'great', 'review', 'smile']"
Yay another art raffle! Everything you need to know is in the picture :D,1,Yay another art raffle Everything you need to know is in the picture D,"['yay', 'another', 'art', 'raffle', 'everything', 'need', 'know', 'picture']"
Hello I hope you visit Luxor its amazing city in Egypt pleas check,1,Hello I hope you visit Luxor its amazing city in Egypt pleas check,"['hello', 'hope', 'visit', 'luxor', 'amazing', 'city', 'egypt', 'plea', 'check']"
We got a Vive tracker in the office and our intern,1,We got a Vive tracker in the office and our intern,"['got', 'vive', 'tracker', 'office', 'intern']"
 went to work.Don't get too excited,1,went to workDont get too excited,"['went', 'workdont', 'get', 'excited']"
 this isn't,1,this isnt,['isnt']
Take a look at favourites.io You can do this and more happy,1,Take a look at favouritesio You can do this and more happy,"['take', 'look', 'favouritesio', 'can', 'do', 'happy']"
Go back to school for music! I think I will in time happy,1,Go back to school for music I think I will in time happy,"['go', 'back', 'school', 'music', 'think', 'will', 'time', 'happy']"
Sixth spot not applicable Team! Higher pa! :)KISSES TheFashionIcon,1,Sixth spot not applicable Team Higher pa KISSES TheFashionIcon,"['sixth', 'spot', 'not', 'applicable', 'team', 'higher', 'pa', 'kiss', 'thefashionicon']"
thanks for being top influencers in my community last week happy,1,thanks for being top influencers in my community last week happy,"['thanks', 'top', 'influencers', 'community', 'last', 'week', 'happy']"
Share the love: thanks for being top new followers this week happy  Want this?,1,Share the love thanks for being top new followers this week happy Want this,"['share', 'love', 'thanks', 'top', 'new', 'follower', 'week', 'happy', 'want']"
retweet this tweet if you want your to be included in the nhc scrapbook!! i'll be making something out of all of the usern,1,retweet this tweet if you want your to be included in the nhc scrapbook ill be making something out of all of the usern,"['retweet', 'tweet', 'want', 'included', 'nhc', 'scrapbook', 'ill', 'making', 'something', 'out', 'usern']"
Happy 420 happy  pass it to your followers!,1,Happy  happy pass it to your followers,"['happy', 'happy', 'pas', 'follower']"
Who wants some good vibes? Watch this on YouTube or TV100 application now for FREE happy,1,Who wants some good vibes Watch this on YouTube or TV application now for FREE happy,"['want', 'good', 'vibe', 'watch', 'youtube', 'tv', 'application', 'free', 'happy']"
Great to work with you too such a lovely place! Thank you for havin,1,Great to work with you too such a lovely place Thank you for havin,"['great', 'work', 'lovely', 'place', 'thank', 'havin']"
Nothing is ever as it seems. What looks bad today,1,Nothing is ever as it seems What looks bad today,"['nothing', 'ever', 'seems', 'look', 'bad', 'today']"
